,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
2098,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2099,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2100,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2101,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2102,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2103,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2104,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2105,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2106,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2107,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2108,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2109,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2110,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2111,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2112,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2113,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2114,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2115,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2116,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2117,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2118,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2119,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2120,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2121,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2122,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2123,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2124,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2125,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2126,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2127,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2128,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2129,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2130,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2131,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2132,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2133,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2134,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2135,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2136,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2137,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2138,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2139,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2140,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2141,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2142,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2143,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2144,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2145,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2146,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2147,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2148,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2149,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2150,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2151,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2152,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2153,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2154,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2155,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2156,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2157,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2158,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2159,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2160,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2161,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2162,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2163,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2164,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2165,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2166,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2167,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2168,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2169,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2170,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2171,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2172,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2173,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2174,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2175,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2176,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2177,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2178,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2179,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2180,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2181,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2182,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2183,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2184,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2185,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2186,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2187,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2188,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2189,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2190,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2191,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2192,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2193,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2194,MANA,2015,Manassas NBP,"502,045",,"$28,747,700.00",,405,"$15,703,100.00","$24,573,200.00","$38,948,900.00"
2195,MANZ,2015,Manzanar NHS,"95,327",,"$9,731,500.00",,142,"$4,073,400.00","$6,755,500.00","$11,464,000.00"
2196,MABI,2015,Marsh-Billings-Rockefeller NHP,"35,002",,"$2,004,300.00",,29,"$915,700.00","$1,576,900.00","$2,600,200.00"
2197,MALU,2015,"Martin Luther King, Jr. NHP","673,728",,"$38,578,500.00",,649,"$22,077,600.00","$34,150,400.00","$58,247,100.00"
2198,MLKM,2015,"Martin Luther King, Jr. Memorial","3,530,401",,"$65,561,900.00",,941,"$37,031,800.00","$58,488,900.00","$92,683,600.00"
2199,MAVA,2015,Martin Van Buren NHS,"18,548",,"$1,062,100.00",,12,"$503,800.00","$864,900.00","$1,372,600.00"
2200,MABE,2015,Mary McLeod Bethune Council House NHS,"8,249",,"$153,200.00",,3,"$86,500.00","$136,700.00","$216,600.00"
2201,MEVE,2015,Mesa Verde NP,"547,325",,"$55,447,000.00",,814,"$21,666,000.00","$38,670,000.00","$66,816,100.00"
2202,MIMA,2015,Minute Man NHP,"964,331",,"$55,218,800.00",,821,"$30,937,800.00","$48,856,200.00","$78,188,700.00"
2203,MIMI,2015,Minuteman Missile NHS,"100,488",,"$7,322,500.00",,121,"$2,828,800.00","$4,650,800.00","$9,099,100.00"
2204,MISS,2015,Mississippi NRRA,"127,636",,"$5,374,000.00",,84,"$2,638,800.00","$4,235,400.00","$7,394,500.00"
2205,MNRR,2015,Missouri NRR,"145,004",,"$6,105,300.00",,97,"$2,291,400.00","$3,830,900.00","$7,089,900.00"
2206,MOJA,2015,Mojave NPRES,"589,156",,"$33,720,400.00",,486,"$16,604,200.00","$26,344,000.00","$42,746,200.00"
2207,MONO,2015,Monocacy NB,"64,596",,"$5,278,600.00",,76,"$2,962,700.00","$4,667,700.00","$7,395,100.00"
2208,MOCA,2015,Montezuma Castle NM,"416,636",,"$23,857,100.00",,358,"$12,715,100.00","$20,363,000.00","$33,338,200.00"
2209,MOCR,2015,Moores Creek NB,"89,944",,"$5,664,400.00",,87,"$2,181,800.00","$3,826,600.00","$6,766,900.00"
2210,MORR,2015,Morristown NHP,"218,960",,"$12,538,000.00",,166,"$7,464,100.00","$11,505,200.00","$17,557,600.00"
2211,MORA,2015,Mount Rainier NP,"1,237,232",,"$45,741,300.00",,596,"$21,018,200.00","$36,426,800.00","$58,341,200.00"
2212,MORU,2015,Mount Rushmore NMEM,"2,434,298",,"$139,390,900.00",,"2,384","$57,910,000.00","$93,788,500.00","$180,104,600.00"
2213,MUWO,2015,Muir Woods NM,"1,099,923",,"$62,983,000.00",,873,"$36,309,400.00","$53,883,200.00","$86,113,400.00"
2214,NATC,2015,Natchez NHP,"204,332",,"$11,700,300.00",,183,"$5,051,100.00","$8,157,300.00","$14,407,100.00"
2215,NATR,2015,Natchez Trace PKWY,"5,785,813",,"$137,217,200.00",,"1,849","$48,100,200.00","$77,217,000.00","$135,828,300.00"
2216,NCPC,2015,National Capital Parks Central,"1,833,085",,"$34,041,600.00",,491,"$19,211,700.00","$30,363,900.00","$48,171,000.00"
2217,NCPE,2015,National Capital Parks East,"1,220,404",,"$22,663,700.00",,332,"$12,696,100.00","$20,430,400.00","$32,444,500.00"
2218,ABLI,2016,Abraham Lincoln Birthplace NHP,"252,495",,"$14,763,100.00",,245,"$7,004,700.00","$11,226,500.00","$19,905,800.00"
2219,ACAD,2016,Acadia NP,"3,303,394",,"$274,208,800.00",,"4,195","$111,087,100.00","$188,275,100.00","$332,786,300.00"
2220,ADAM,2016,Adams NHP,"199,300",,"$11,652,800.00",,171,"$6,534,100.00","$10,281,900.00","$16,519,600.00"
2221,AFBG,2016,African Burial Ground NM,"46,526",,"$2,720,400.00",,34,"$1,603,200.00","$2,487,300.00","$3,764,500.00"
2222,AGFO,2016,Agate Fossil Beds NM,"15,555",,"$1,140,400.00",,17,"$354,900.00","$638,000.00","$1,199,300.00"
2223,ALFL,2016,Alibates Flint Quarries NM,"8,152",,"$476,600.00",,8,"$189,900.00","$331,400.00","$596,500.00"
2224,ALPO,2016,Allegheny Portage Railroad NHS,"189,370",,"$11,072,200.00",,184,"$5,476,300.00","$8,602,700.00","$15,044,800.00"
2225,AMIS,2016,Amistad NRA,"1,164,530",,"$50,617,700.00",,710,"$15,544,900.00","$28,081,300.00","$51,077,600.00"
2226,ANDE,2016,Andersonville NHS,"134,216",,"$7,847,400.00",,133,"$3,016,400.00","$5,135,500.00","$9,622,300.00"
2227,ANJO,2016,Andrew Johnson NHS,"45,937",,"$2,685,800.00",,45,"$1,202,500.00","$2,006,600.00","$3,502,100.00"
2228,ANIA,2016,Aniakchak NM & PRES,83,,"$79,100.00",,,"$31,400.00","$74,300.00","$111,100.00"
2229,ANTI,2016,Antietam NB,"351,911",,"$22,660,800.00",,305,"$12,039,000.00","$19,161,800.00","$30,595,200.00"
2230,APIS,2016,Apostle Islands NL,"183,797",,"$29,270,100.00",,456,"$11,158,700.00","$19,554,800.00","$35,699,800.00"
2231,APCO,2016,Appomattox Court House NHP,"303,139",,"$17,724,100.00",,290,"$7,654,800.00","$12,805,900.00","$22,758,600.00"
2232,ARCH,2016,Arches NP,"1,585,719",,"$188,802,500.00",,"3,120","$78,699,100.00","$142,124,600.00","$251,620,400.00"
2233,ARPO,2016,Arkansas Post NMEM,"34,405",,"$2,011,600.00",,29,"$882,300.00","$1,386,800.00","$2,428,500.00"
2234,ARHO,2016,Arlington House The R.E. Lee MEM,"1,057,500",,"$61,830,500.00",,869,"$33,737,800.00","$52,945,900.00","$84,399,100.00"
2235,ASIS,2016,Assateague Island NS,"2,267,822",,"$98,272,400.00",,"1,332","$38,848,100.00","$68,307,900.00","$112,223,300.00"
2236,AZRU,2016,Aztec Ruins NM,"57,693",,"$3,373,200.00",,52,"$1,249,000.00","$2,169,200.00","$3,880,200.00"
2237,BADL,2016,Badlands NP,"996,263",,"$63,746,600.00",,"1,031","$24,935,900.00","$41,060,900.00","$79,640,500.00"
2238,BAND,2016,Bandelier NM,"198,478",,"$12,469,900.00",,194,"$5,397,100.00","$8,720,100.00","$15,769,400.00"
2239,BEPA,2016,Belmont-Paul Women's Equality NM,"2,703",,"$51,300.00",,,"$28,900.00","$45,700.00","$72,800.00"
2240,BEOL,2016,Bent's Old Fort NHS,"31,948",,"$1,868,000.00",,29,"$739,100.00","$1,318,200.00","$2,302,400.00"
2241,BELA,2016,Bering Land Bridge NPRES,"2,642",,"$4,166,700.00",,54,"$1,975,000.00","$3,626,000.00","$5,937,000.00"
2242,BIBE,2016,Big Bend NP,"388,290",,"$34,197,400.00",,510,"$11,549,000.00","$20,972,400.00","$37,888,700.00"
2243,BICY,2016,Big Cypress NPRES,"1,102,147",,"$88,049,800.00",,"1,255","$48,767,700.00","$77,452,100.00","$126,017,400.00"
2244,BIHO,2016,Big Hole NB,"41,795",,"$2,728,700.00",,40,"$1,002,200.00","$1,523,700.00","$2,884,300.00"
2245,BISO,2016,Big South Fork NRRA,"684,715",,"$20,763,300.00",,282,"$7,506,600.00","$12,746,900.00","$22,328,700.00"
2246,BITH,2016,Big Thicket NPRES,"192,809",,"$12,347,900.00",,172,"$5,890,100.00","$9,511,200.00","$15,909,400.00"
2247,BICA,2016,Bighorn Canyon NRA,"259,485",,"$11,238,600.00",,174,"$4,544,100.00","$7,251,300.00","$13,502,700.00"
2248,BISC,2016,Biscayne NP,"514,709",,"$33,004,100.00",,461,"$18,188,900.00","$28,395,100.00","$45,979,900.00"
2249,BLCA,2016,Black Canyon of the Gunnison NP,"238,017",,"$14,616,100.00",,197,"$6,769,000.00","$11,041,600.00","$18,040,200.00"
2250,BLRI,2016,Blue Ridge PKWY,"15,175,578",,"$979,334,200.00",,"15,649","$462,871,000.00","$767,939,800.00","$1,341,343,100.00"
2251,BLUE,2016,Bluestone NSR,"34,139",,"$1,485,500.00",,23,"$598,100.00","$963,000.00","$1,706,500.00"
2252,BOWA,2016,Booker T. Washington NM,"23,439",,"$1,370,500.00",,22,"$606,700.00","$989,900.00","$1,779,300.00"
2253,BOST,2016,Boston NHP,"2,594,495",,"$151,696,400.00",,"2,226","$85,199,500.00","$134,130,900.00","$215,088,000.00"
2254,BOAF,2016,Boston African American NHS,"414,170",,"$24,216,000.00",,356,"$13,595,400.00","$21,409,400.00","$34,339,200.00"
2255,BRVB,2016,Brown v. Board of Education NHS,"27,968",,"$1,635,200.00",,28,"$855,300.00","$1,360,300.00","$2,398,900.00"
2256,BRCA,2016,Bryce Canyon NP,"2,365,111",,"$200,974,100.00",,"3,036","$78,944,800.00","$139,455,700.00","$244,697,300.00"
2257,BUIS,2016,Buck Island Reef NM,"38,929",,"$2,424,200.00",,28,"$1,101,100.00","$1,864,400.00","$2,897,400.00"
2258,BUFF,2016,Buffalo NR,"1,785,358",,"$77,556,600.00",,"1,200","$30,604,100.00","$50,099,500.00","$90,199,700.00"
2259,CABR,2016,Cabrillo NM,"959,145",,"$56,079,800.00",,819,"$30,201,700.00","$46,315,500.00","$75,163,100.00"
2260,CANA,2016,Canaveral NS,"1,629,944",,"$104,943,600.00",,"1,551","$50,324,900.00","$84,136,100.00","$140,813,900.00"
2261,CARI,2016,Cane River Creole NHP,"26,863",,"$1,570,700.00",,23,"$631,000.00","$1,079,600.00","$1,913,600.00"
2262,CACH,2016,Canyon De Chelly NM,"821,406",,"$54,629,800.00",,797,"$19,622,800.00","$34,420,900.00","$62,237,800.00"
2263,CANY,2016,Canyonlands NP,"776,217",,"$47,639,700.00",,722,"$18,085,800.00","$32,425,200.00","$57,605,300.00"
2264,CACO,2016,Cape Cod NS,"4,692,795",,"$204,549,000.00",,"2,635","$107,373,600.00","$164,687,300.00","$259,123,700.00"
2265,CAHA,2016,Cape Hatteras NS,"2,411,711",,"$153,828,400.00",,"2,359","$65,010,800.00","$108,081,400.00","$191,709,500.00"
2266,CAKR,2016,Cape Krusenstern NM,"15,000",,"$23,656,300.00",,308,"$11,212,900.00","$20,586,400.00","$33,706,500.00"
2267,CALO,2016,Cape Lookout NS,"458,000",,"$20,931,700.00",,322,"$7,451,000.00","$12,259,700.00","$22,945,100.00"
2268,CARE,2016,Capitol Reef NP,"1,064,904",,"$77,047,500.00",,"1,083","$28,532,100.00","$50,125,300.00","$88,246,300.00"
2269,CAVO,2016,Capulin Volcano NM,"60,132",,"$1,806,500.00",,27,"$561,000.00","$966,100.00","$1,818,800.00"
2270,CARL,2016,Carl Sandburg Home NHS,"80,695",,"$4,718,200.00",,76,"$2,049,900.00","$3,449,400.00","$6,015,600.00"
2271,CAVE,2016,Carlsbad Caverns NP,"466,772",,"$30,064,000.00",,444,"$10,905,300.00","$18,277,600.00","$33,785,200.00"
2272,CAGR,2016,Casa Grande Ruins NM,"75,752",,"$4,429,100.00",,68,"$2,360,700.00","$3,811,800.00","$6,306,900.00"
2273,CASA,2016,Castillo De San Marcos NM,"854,664",,"$49,971,000.00",,804,"$23,238,700.00","$39,329,900.00","$67,756,600.00"
2274,CACL,2016,Castle Clinton NM,"4,812,931",,"$117,641,800.00",,"1,362","$58,748,800.00","$89,400,200.00","$136,657,200.00"
2275,CATO,2016,Catoctin Mountain Park,"221,750",,"$13,620,700.00",,184,"$7,189,600.00","$11,402,600.00","$18,277,300.00"
2276,CEBR,2016,Cedar Breaks NM,"899,676",,"$57,863,900.00",,851,"$21,398,000.00","$38,042,600.00","$67,219,900.00"
2277,CECH,2016,Cesar E. Chavez NM,"17,216",,"$1,006,600.00",,14,"$546,400.00","$844,400.00","$1,396,600.00"
2278,CHCU,2016,Chaco Culture NHP,"54,083",,"$2,981,400.00",,46,"$1,194,400.00","$1,979,000.00","$3,600,500.00"
2279,CHAM,2016,Chamizal NMEM,"147,937",,"$8,649,600.00",,142,"$3,346,600.00","$5,819,300.00","$10,780,400.00"
2280,CHIS,2016,Channel Islands NP,"364,808",,"$22,436,000.00",,315,"$12,610,700.00","$19,409,800.00","$31,882,700.00"
2281,CHPI,2016,Charles Pinckney NHS,"53,184",,"$3,109,600.00",,48,"$1,373,900.00","$2,334,200.00","$3,913,100.00"
